Number,Name,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset
21,127,,Point,44.18863513,-114.9700099,1990.31,-17.866
20,90,,Point,44.18863343,-114.9691446,1988.913,-17.865
18,121,,Point,44.188693,-114.9710989,1995.247,-17.866
19,179,,Point,44.18911537,-114.9713909,1993.672,-17.866
17,126,,Point,44.18881817,-114.9712993,1995.977,-17.866
16,231,,Point,44.18866099,-114.9709752,1996.126,-17.866
15,175,,Point,44.18867839,-114.971782,1998.492,-17.866
14,147,,Point,44.18877389,-114.972757,2005.724,-17.866
13,137,,Point,44.18934656,-114.973415,2007.688,-17.866
12,128,,Point,44.18993786,-114.9736499,2003.974,-17.866
11,169,,Point,44.19033798,-114.9736908,1997.964,-17.866
10,160,,Point,44.19080337,-114.9736864,1994.582,-17.866
9,134,,Point,44.19144477,-114.9737265,1987.178,-17.866
8,125,,Point,44.19202274,-114.9734473,1983.766,-17.866
7,150,,Point,44.19271488,-114.9731979,1983.632,-17.866
6,133,,Point,44.19341318,-114.9727966,1980.853,-17.865
5,136,,Point,44.1938437,-114.9718465,1978.926,-17.865
4,155,,Point,44.19419274,-114.9709564,1977.153,-17.865
2,170,,Point,44.19494149,-114.9712266,1978.393,-17.865
1,138,,Point,44.19577629,-114.971159,1979.457,-17.865